!!NOTES!!	Przykładowy trening 3 dniowy Full Body Workout dla osób początkujących. [BR][BR]Rób ćwiczenia do upadku mięśniowego, staraj się mieścić w widełkach powtórzeń, jeśli zrobisz ich więcej niż górna granica - Dołóż ciężar[BR][BR]Ten plan to tylko sugestia, modyfikuj go dowolnie pod samego siebie, eksperymentuj, progresuj i baw się dobrze!	
# Poniedziałek - FBW A | AKTYWNY		
Przysiady ze sztangą na plecach	4	6-10
Dipy z obciążeniem	4	6-10
Wiosłowanie wąskim chwytem	4	6-10
Wyciskanie żołnierskie	4	6-12
Uginanie na biceps hantlami z supinacją	3	6-12
Wyciskanie francuskie	3	6-12
Uginanie brzucha prosto	4	8-12
# Wtorek | PRZERWA		
# Środa - FBW B | AKTYWNY		
Wyciskanie sztangi na ławce płaskiej	4	6-10
Przysiady bułgarskie	4	6-10
Podciąganie szerokim chwytem	4	6-10
RDL	3	6-10
Face pull	3	6-12
Wznosy	3	6-12
Łydki	4	15+
# Czwartek | PRZERWA		
# Piątek - FBW C | AKTYWNY		
Martwy ciąg	4	3-6
Przysiad z sztangą na plecach	4	4-8
Wiosłowanie szerokim chwytem	4	8-12
Wyciskanie hantli na ławce dodatniej	4	8-12
Dipy z obciążeniem	3	6-10
Uginanie młotkowe na biceps hantlami	3	6-10
Uginanie brzucha skośne	4	8-12
# Sobota | PRZERWA		
# Niedziela | PRZERWA		
