!!NOTES!!	Przykładowy trening 4 dniowy Upper Lower dla osób początkujących. [BR][BR]Rób ćwiczenia do upadku mięśniowego, staraj się mieścić w widełkach powtórzeń, jeśli zrobisz ich więcej niż górna granica - Dołóż ciężar[BR][BR]Ten plan to tylko sugestia, modyfikuj go dowolnie pod samego siebie, eksperymentuj, progresuj i baw się dobrze![BR]	
# Poniedziałek - Upper A | AKTYWNY		
Wyciskanie sztangi na ławce płaskiej	4	6-10
Podciąganie neutralny chwyt	4	6-10
Wiosłowanie szerokim chwytem	4	6-10
Wyciskanie żołnierskie	4	6-10
Face pull	4	8-12
Biceps sztangą łamaną stojąc	3	8-12
Wyciskanie francuskie	3	6-12
# Wtorek - Lower A | AKTYWNY		
Przysiad	4	6-10
RDL	4	6-10
Hip thrust	4	8-12
Prostowanie nóg na maszynie	3	8-12
Brzuch prosty	4	8-12
Unoszenie kolan po skosie wiszac	4	8-12
Łydki	3	15+
# Środa | PRZERWA		
# Czwartek - Upper B | AKTYWNY		
Wiosłowanie wąskim chwytem	4	6-10
Podciąganie szerokim chwytem	4	6-10
Wyciskanie hantli na ławce skośnej	4	6-10
Dipy z obciążeniem	4	6-10
Face pull	4	8-12
Wznosy	4	8-12
Biceps hantlami jednorącz z supinacją	4	6-10
# Piątek - Lower B | AKTYWNY		
Martwy ciąg	4	3-6
Przysiad z sztangą na plecach	4	4-8
Wykroki z hantlami	4	6-10
Uginanie nóg na maszynie	4	8-12
Brzuszki skośne	4	8-12
Unoszenie kolan w opadzie	4	8-12
Łydki	4	15+
# Sobota | PRZERWA		
# Niedziela | PRZERWA		
